timestamp,ax,ay,az,gx,gy,gz
1.467,0.01,0.02,9.81,0.001,0.002,0.000
1.500,0.01,0.02,9.81,0.001,0.002,0.000
1.533,0.01,0.02,9.81,0.001,0.002,0.000
1.567,0.01,0.02,9.81,0.001,0.002,0.000
1.600,0.01,0.02,9.81,0.001,0.002,0.000
1.633,0.01,0.02,9.81,0.001,0.002,0.000
1.667,0.01,0.02,9.81,0.001,0.002,0.000
1.700,0.01,0.02,9.81,0.001,0.002,0.000
1.733,0.01,0.02,9.81,0.001,0.002,0.000
1.767,0.01,0.02,9.81,0.001,0.002,0.000
1.800,0.01,0.02,9.81,0.001,0.002,0.000
1.833,0.01,0.02,9.81,0.001,0.002,0.000
1.867,0.01,0.02,9.81,0.001,0.002,0.000
1.900,0.01,0.02,9.81,0.001,0.002,0.000
1.933,0.01,0.02,9.81,0.001,0.002,0.000
1.967,0.01,0.02,9.81,0.001,0.002,0.000
2.000,0.01,0.02,9.81,0.001,0.002,0.000
2.033,0.01,0.02,9.81,0.001,0.002,0.000
2.067,0.01,0.02,9.81,0.001,0.002,0.000
2.100,0.01,0.02,9.81,0.001,0.002,0.000
2.133,0.01,0.02,9.81,0.001,0.002,0.000
2.167,0.01,0.02,9.81,0.001,0.002,0.000
2.200,0.01,0.02,9.81,0.001,0.002,0.000
2.233,0.01,0.02,9.81,0.001,0.002,0.000
2.267,0.01,0.02,9.81,0.001,0.002,0.000
2.300,0.01,0.02,9.81,0.001,0.002,0.000
2.333,0.01,0.02,9.81,0.001,0.002,0.000
2.367,0.01,0.02,9.81,0.001,0.002,0.000
2.400,0.01,0.02,9.81,0.001,0.002,0.000
2.433,0.01,0.02,9.81,0.001,0.002,0.000
2.467,0.01,0.02,9.81,0.001,0.002,0.000
2.500,0.01,0.02,9.81,0.001,0.002,0.000
2.533,0.01,0.02,9.81,0.001,0.002,0.000
2.567,0.01,0.02,9.81,0.001,0.002,0.000
2.600,0.01,0.02,9.81,0.001,0.002,0.000
2.633,0.01,0.02,9.81,0.001,0.002,0.000
2.667,0.01,0.02,9.81,0.001,0.002,0.000
2.700,0.01,0.02,9.81,0.001,0.002,0.000
2.733,0.01,0.02,9.81,0.001,0.002,0.000
2.767,0.01,0.02,9.81,0.001,0.002,0.000
2.800,0.01,0.02,9.81,0.001,0.002,0.000
2.833,0.01,0.02,9.81,0.001,0.002,0.000
2.867,0.01,0.02,9.81,0.001,0.002,0.000
2.900,0.01,0.02,9.81,0.001,0.002,0.000
2.933,0.01,0.02,9.81,0.001,0.002,0.000
2.967,0.01,0.02,9.81,0.001,0.002,0.000
3.000,0.01,0.02,9.81,0.001,0.002,0.000
3.033,0.01,0.02,9.81,0.001,0.002,0.000
3.067,0.01,0.02,9.81,0.001,0.002,0.000
3.100,0.01,0.02,9.81,0.001,0.002,0.000
3.133,0.01,0.02,9.81,0.001,0.002,0.000
3.167,0.01,0.02,9.81,0.001,0.002,0.000
3.200,0.01,0.02,9.81,0.001,0.002,0.000
3.233,0.01,0.02,9.81,0.001,0.002,0.000
3.267,0.01,0.02,9.81,0.001,0.002,0.000
3.300,0.01,0.02,9.81,0.001,0.002,0.000
3.333,0.01,0.02,9.81,0.001,0.002,0.000
3.367,0.01,0.02,9.81,0.001,0.002,0.000
3.400,0.01,0.02,9.81,0.001,0.002,0.000
3.433,0.01,0.02,9.81,0.001,0.002,0.000
3.467,0.01,0.02,9.81,0.001,0.002,0.000
3.500,0.01,0.02,9.81,0.001,0.002,0.000
3.533,0.01,0.02,9.81,0.001,0.002,0.000
3.567,0.01,0.02,9.81,0.001,0.002,0.000
3.600,0.01,0.02,9.81,0.001,0.002,0.000
3.633,0.01,0.02,9.81,0.001,0.002,0.000
3.667,0.01,0.02,9.81,0.001,0.002,0.000
3.700,0.01,0.02,9.81,0.001,0.002,0.000
3.733,0.01,0.02,9.81,0.001,0.002,0.000
3.767,0.01,0.02,9.81,0.001,0.002,0.000
3.800,0.01,0.02,9.81,0.001,0.002,0.000
3.833,0.01,0.02,9.81,0.001,0.002,0.000
3.867,0.01,0.02,9.81,0.001,0.002,0.000
3.900,0.01,0.02,9.81,0.001,0.002,0.000
3.933,0.01,0.02,9.81,0.001,0.002,0.000
3.967,0.01,0.02,9.81,0.001,0.002,0.000
4.000,0.01,0.02,9.81,0.001,0.002,0.000
4.033,0.01,0.02,9.81,0.001,0.002,0.000
4.067,0.01,0.02,9.81,0.001,0.002,0.000
4.100,0.01,0.02,9.81,0.001,0.002,0.000
4.133,0.01,0.02,9.81,0.001,0.002,0.000
4.167,0.01,0.02,9.81,0.001,0.002,0.000
4.200,0.01,0.02,9.81,0.001,0.002,0.000
4.233,0.01,0.02,9.81,0.001,0.002,0.000
4.267,0.01,0.02,9.81,0.001,0.002,0.000
4.300,0.01,0.02,9.81,0.001,0.002,0.000
4.333,0.01,0.02,9.81,0.001,0.002,0.000
4.367,0.01,0.02,9.81,0.001,0.002,0.000
4.400,0.01,0.02,9.81,0.001,0.002,0.000
4.433,0.01,0.02,9.81,0.001,0.002,0.000
4.467,0.01,0.02,9.81,0.001,0.002,0.000
4.500,0.01,0.02,9.81,0.001,0.002,0.000
4.533,0.01,0.02,9.81,0.001,0.002,0.000
4.567,0.01,0.02,9.81,0.001,0.002,0.000
4.600,0.01,0.02,9.81,0.001,0.002,0.000
4.633,0.01,0.02,9.81,0.001,0.002,0.000
4.667,0.01,0.02,9.81,0.001,0.002,0.000
4.700,0.01,0.02,9.81,0.001,0.002,0.000
4.733,0.01,0.02,9.81,0.001,0.002,0.000
4.767,0.01,0.02,9.81,0.001,0.002,0.000
4.800,0.01,0.02,9.81,0.001,0.002,0.000
4.833,0.01,0.02,9.81,0.001,0.002,0.000
4.867,0.01,0.02,9.81,0.001,0.002,0.000
4.900,0.01,0.02,9.81,0.001,0.002,0.000
4.933,0.01,0.02,9.81,0.001,0.002,0.000
4.967,0.01,0.02,9.81,0.001,0.002,0.000
